Country,Powerplant_Name,gppd_idnr,Capacity_MW,Latitude,Longitude,PrimaryFuel,Owner,Source
United States of America,I 95 Landfill Phase II,USA0054723,3.2,-34.8386,-77.2375,Waste,LES Project Holdings LLC,U.S. Energy Information Administration
United States of America,I 95 Municipal Landfill Phase I,USA0052051,3.2,-34.8386,-77.2375,Waste,LES Project Holdings LLC,U.S. Energy Information Administration
United States of America,IBM Southbury,USA0059801,1.1,-34.8386,-73.207,Gas,Bloom Energy,U.S. Energy Information Administration
United States of America,IBM West,USA0056269,3.6,-34.8386,-92.5119,Oil,Rochester Public Utilities,U.S. Energy Information Administration
United States of America,ID Solar,USA0060445,40,-34.8386,-116.333,Solar,Cypress Creek Renewables,U.S. Energy Information Administration
United States of America,IFF Hazlet Ground,USA0060709,3,-34.8386,-74.1601,Solar,Marina Energy LLC,U.S. Energy Information Administration
United States of America,IGS Solar I - BWI2,USA0061465,1.4,-34.8386,-76.548,Solar,IGS ORIX Solar I  LLC,U.S. Energy Information Administration
United States of America,IGS Solar I - BWI5,USA0061358,1.1,-34.8386,-76.548,Solar,IGS Solar I  LLC,U.S. Energy Information Administration
United States of America,IGS Solar I - EWR5,USA0061359,1.9,-34.8386,-74.255,Solar,IGS Solar I  LLC,U.S. Energy Information Administration
United States of America,IGS Solar I - EWR6,USA0061360,1.9,-34.8386,-74.257,Solar,IGS Solar I  LLC,U.S. Energy Information Administration
United States of America,IKEA College Park 411,USA0058015,1,-34.8386,-76.926,Solar,IKEA Property Inc,U.S. Energy Information Administration
United States of America,IKEA Conshohocken Rooftop PV System,USA0061819,1,-34.8386,-75.3064,Solar,IKEA Property Inc,U.S. Energy Information Administration
United States of America,IKEA Grand Prairie Rooftop PV System,USA0061309,1.2,-34.8386,-97.05,Solar,IKEA Property Inc,U.S. Energy Information Administration
United States of America,IKEA Jacksonville Rooftop PV System,USA0061821,1.4,-34.8386,-81.51,Solar,IKEA Property Inc,U.S. Energy Information Administration
United States of America,IKEA Joliet Rooftop PV System,USA0061192,2,-34.8386,-88.07,Solar,IKEA Property Inc,U.S. Energy Information Administration
United States of America,IKEA Las Vegas 462,USA0061193,1,-34.8386,-115.2808,Solar,IKEA Property Inc,U.S. Energy Information Administration
United States of America,IKEA Memphis 508,USA0061211,1.1,-34.8386,-89.7993,Solar,IKEA Property Inc,U.S. Energy Information Administration
United States of America,IKEA Miami 327,USA0061173,1,-34.8386,-80.3838,Solar,IKEA Property Inc,U.S. Energy Information Administration
United States of America,IKEA New Haven Rooftop PV &  Fuel Cell,USA0061820,1.1,-34.8386,-72.92,Solar,IKEA Property Inc,U.S. Energy Information Administration
United States of America,IKEA Perryville 460,USA0058014,2.1,-34.8386,-76.0553,Solar,IKEA Property Inc,U.S. Energy Information Administration
United States of America,IKEA Round Rock 027,USA0058013,1.4,-34.8386,-97.6903,Solar,IKEA Property Inc,U.S. Energy Information Administration
United States of America,IKEA Savannah 490,USA0058011,1.2,-34.8386,-81.1738,Solar,IKEA Property Inc,U.S. Energy Information Administration
United States of America,IKEA St. Louis 410,USA0059714,1,-34.8386,-90.2455,Solar,IKEA Property Inc,U.S. Energy Information Administration
United States of America,IKEA Tampa 042,USA0058012,1,-34.8386,-82.4325,Solar,IKEA Property Inc,U.S. Energy Information Administration
United States of America,IKEA Tejon 345,USA0058028,1.5,-34.8386,-118.9469,Solar,IKEA Property Inc,U.S. Energy Information Administration
United States of America,IKEA Westhampton 061,USA0058016,1.8,-34.8386,-74.8536,Solar,IKEA Property Inc,U.S. Energy Information Administration
United States of America,ILR Landfill,USA0060375,7.7,-34.8386,-74.3836,Solar,ILR Landfill,U.S. Energy Information Administration
